lat,lon,bin_name
-34.7622,-58.3058,bin112
-34.7613,-58.5018,bin113
-34.7613,-58.1566,bin114
-34.761,-58.3096,bin115
-34.761,-58.2443,bin116
-34.7607,-58.1832,bin117
-34.7606,-58.3093,bin118
-34.7603,-58.4335,bin119
-34.7596,-58.4963,bin120
-34.7596,-58.3033,bin121
-34.7596,-58.1795,bin122
-34.7594,-58.4391,bin123
-34.7592,-58.6474,bin124
-34.7591,-58.246,bin125
-34.759,-58.1523,bin126
-34.7588,-58.6252,bin127
-34.7587,-58.1784,bin128
-34.7587,-58.1777,bin129
-34.7578,-58.6503,bin130
-34.7571,-58.1515,bin131
-34.7567,-58.1581,bin132
-34.7565,-58.6271,bin133
-34.7562,-58.4942,bin134
-34.7561,-58.3034,bin135
-34.7558,-58.2402,bin136
-34.7553,-58.6448,bin137
-34.755,-58.4342,bin138
-34.7541,-58.1471,bin139
-34.754,-58.2386,bin140
-34.7538,-58.4923,bin141
-34.7537,-58.6234,bin142
-34.7532,-58.4293,bin143
-34.7532,-58.4266,bin144
-34.753,-58.6228,bin145
-34.7521,-58.2364,bin146
-34.7519,-58.1758,bin147
-34.7516,-58.2943,bin148
-34.751,-58.4873,bin149
-34.7509,-58.2359,bin150
-34.7506,-58.6196,bin151
-34.7505,-58.2999,bin152
-34.7504,-58.1686,bin153
-34.7497,-58.6449,bin154
-34.7497,-58.49,bin155
-34.7496,-58.1694,bin156
-34.7495,-58.2977,bin157
-34.7493,-58.1675,bin158
-34.7492,-58.423,bin159
-34.7491,-58.6411,bin160
-34.749,-58.4262,bin161
-34.7485,-58.1616,bin162
-34.748,-58.2287,bin163
-34.7475,-58.3271,bin164
-34.7474,-58.6343,bin165
-34.7474,-58.1452,bin166
-34.7473,-58.2892,bin167
-34.7471,-58.1429,bin168
-34.7469,-58.4208,bin169
-34.7468,-58.6166,bin170
-34.7467,-58.325,bin171
-34.7467,-58.2264,bin172
-34.7461,-58.638,bin173
-34.7454,-58.3257,bin174
-34.7451,-58.6139,bin175
-34.7451,-58.1642,bin176
-34.745,-58.2876,bin177
-34.745,-58.1408,bin178
-34.7448,-58.6134,bin179
-34.7446,-58.4838,bin180
-34.7445,-58.3322,bin181
-34.7444,-58.4803,bin182
-34.7441,-58.6322,bin183
-34.7436,-58.1417,bin184
-34.7431,-58.2865,bin185
-34.7431,-58.2848,bin186
-34.7424,-58.6309,bin187
-34.7423,-58.4161,bin188
-34.7421,-58.1367,bin189
-34.7416,-58.2289,bin190
-34.7416,-58.1581,bin191
-34.7415,-58.3237,bin192
-34.7414,-58.4765,bin193
-34.7412,-58.3302,bin194
-34.741,-58.4782,bin195
-34.7407,-58.2269,bin196
-34.74,-58.3212,bin197
-34.7397,-58.5703,bin198
-34.7396,-58.6987,bin199
-34.7395,-58.6136,bin200
-34.7393,-58.4167,bin201
-34.7391,-58.2215,bin202
-34.7389,-58.2201,bin203
-34.7388,-58.6288,bin204
-34.7386,-58.2551,bin205
-34.7385,-58.5661,bin206
-34.7385,-58.4704,bin207
-34.7385,-58.1514,bin208
-34.7384,-58.2606,bin209
-34.7384,-58.2175,bin210
-34.7383,-58.57,bin211
-34.7382,-58.1377,bin212
-34.7382,-58.1291,bin213
-34.738,-58.3276,bin214
-34.7379,-58.4755,bin215
-34.7378,-58.4121,bin216
-34.7376,-58.6089,bin217
-34.7376,-58.4149,bin218
-34.7374,-58.3163,bin219
-34.7374,-58.1558,bin220
-34.7372,-58.609,bin221
-34.7372,-58.4676,bin222
-34.7371,-58.2834,bin223
-34.737,-58.2778,bin224
-34.7366,-58.1536,bin225
-34.7363,-58.135,bin226
-34.7362,-58.32,bin227
-34.7357,-58.4046,bin228
-34.7354,-58.1277,bin229
-34.7353,-58.6219,bin230
-34.7352,-58.3259,bin231
-34.7352,-58.3247,bin232
-34.7347,-58.6276,bin233
-34.7347,-58.392,bin234
-34.7347,-58.2526,bin235
-34.7346,-58.701,bin236
-34.7344,-58.4042,bin237
-34.7344,-58.3239,bin238
-34.734,-58.599,bin239
-34.7339,-58.2172,bin240
-34.7337,-58.5642,bin241
-34.7335,-58.6208,bin242
-34.7333,-58.1275,bin243
-34.733,-58.4086,bin244
-34.7329,-58.3107,bin245
-34.7326,-58.6017,bin246
-34.7325,-58.5988,bin247
-34.7324,-58.2765,bin248
-34.7323,-58.1479,bin249
-34.7321,-58.2496,bin250
-34.732,-58.3219,bin251
-34.7318,-58.2081,bin252
-34.7317,-58.465,bin253
-34.7316,-58.4623,bin254
-34.7314,-58.3087,bin255
-34.7314,-58.1478,bin256
-34.7313,-58.6951,bin257
-34.7312,-58.6902,bin258
-34.7311,-58.3884,bin259
-34.731,-58.1426,bin260
-34.7306,-58.6911,bin261
-34.7306,-58.309,bin262
-34.7305,-58.2752,bin263
-34.7303,-58.5644,bin264
-34.7303,-58.2673,bin265
-34.7302,-58.4641,bin266
-34.7301,-58.3869,bin267
-34.7301,-58.2716,bin268
-34.7297,-58.3204,bin269
-34.7289,-58.6146,bin270
-34.7287,-58.617,bin271
-34.7286,-58.3049,bin272
-34.7286,-58.2105,bin273
-34.7284,-58.5602,bin274
-34.7284,-58.5593,bin275
-34.7282,-58.613,bin276
-34.728,-58.2677,bin277
-34.7273,-58.4621,bin278
-34.7271,-58.6908,bin279
-34.7271,-58.4026,bin280
-34.7271,-58.122,bin281
-34.727,-58.5935,bin282
-34.727,-58.1245,bin283
-34.7269,-58.3081,bin284
-34.7269,-58.2473,bin285
-34.7265,-58.5574,bin286
-34.7264,-58.5954,bin287
-34.7263,-58.5949,bin288
-34.7262,-58.4557,bin289
-34.7259,-58.5541,bin290
-34.7258,-58.3852,bin291
-34.7258,-58.207,bin292
-34.7249,-58.3128,bin293
-34.7249,-58.1396,bin294
-34.7248,-58.2475,bin295
-34.7246,-58.6822,bin296
-34.7246,-58.1421,bin297
-34.7245,-58.2625,bin298
-34.7244,-58.4016,bin299
-34.7241,-58.4706,bin300
-34.7241,-58.203,bin301
-34.724,-58.3998,bin302
-34.724,-58.323,bin303
-34.724,-58.2411,bin304
-34.7237,-58.3874,bin305
-34.7237,-58.3093,bin306
-34.7236,-58.5897,bin307
-34.7236,-58.393,bin308
-34.7236,-58.1192,bin309
-34.7235,-58.1352,bin310
-34.7234,-58.2406,bin311
-34.723,-58.6875,bin312
-34.7229,-58.6079,bin313
-34.7228,-58.3144,bin314
-34.7225,-58.3082,bin315
-34.7225,-58.1986,bin316
-34.722,-58.2636,bin317
-34.7219,-58.2357,bin318
-34.7217,-58.4579,bin319
-34.7215,-58.3157,bin320
-34.7215,-58.2042,bin321
-34.7214,-58.1149,bin322
-34.721,-58.3817,bin323
-34.7208,-58.2985,bin324
-34.7207,-58.6768,bin325
-34.7207,-58.3183,bin326
-34.7207,-58.1364,bin327
-34.7206,-58.5855,bin328
-34.7206,-58.5827,bin329
-34.7206,-58.1985,bin330
-34.7206,-58.1111,bin331
-34.7204,-58.6094,bin332
-34.7202,-58.6043,bin333
-34.7201,-58.6059,bin334
-34.7201,-58.2971,bin335
-34.7201,-58.1146,bin336
-34.7198,-58.4524,bin337
-34.7197,-58.5529,bin338
-34.7192,-58.4678,bin339
-34.7191,-58.2375,bin340
-34.719,-58.2914,bin341
-34.7185,-58.2615,bin342
-34.7184,-58.1322,bin343
-34.7182,-58.3921,bin344
-34.7182,-58.3126,bin345
-34.7182,-58.3057,bin346
-34.7182,-58.1116,bin347
-34.7179,-58.6817,bin348
-34.7178,-58.6029,bin349
-34.7175,-58.2956,bin350
-34.7174,-58.5454,bin351
-34.7174,-58.3871,bin352
-34.7173,-58.2591,bin353
-34.717,-58.3735,bin354
-34.7169,-58.5807,bin355
-34.7169,-58.4652,bin356
-34.7169,-58.3806,bin357
-34.7168,-58.1932,bin358
-34.7166,-58.1324,bin359
-34.7165,-58.5466,bin360
-34.7165,-58.4526,bin361
-34.7164,-58.2317,bin362
-34.7162,-58.3895,bin363
-34.7159,-58.459,bin364
-34.7158,-58.6761,bin365
-34.7158,-58.3026,bin366
-34.7152,-58.6744,bin367
-34.7151,-58.291,bin368
-34.7151,-58.1044,bin369
-34.715,-58.5824,bin370
-34.7147,-58.5762,bin371
-34.7147,-58.1948,bin372
-34.7146,-58.3777,bin373
-34.7146,-58.1229,bin374
-34.7143,-58.2522,bin375
-34.7142,-58.4484,bin376
-34.7141,-58.3012,bin377
-34.714,-58.5441,bin378
-34.7137,-58.5377,bin379
-34.7136,-58.3034,bin380
-34.7135,-58.383,bin381
-34.7134,-58.2936,bin382
-34.7134,-58.191,bin383
-34.7132,-58.4568,bin384
-34.713,-58.2331,bin385
-34.7129,-58.1021,bin386
-34.7128,-58.3727,bin387
-34.7127,-58.2564,bin388
-34.7126,-58.1038,bin389
-34.7125,-58.1199,bin390
-34.7124,-58.382,bin391
-34.7123,-58.3034,bin392
-34.7122,-58.312,bin393
-34.7122,-58.1885,bin394
-34.7121,-58.2288,bin395
-34.7119,-58.5977,bin396
-34.7119,-58.4436,bin397
-34.7117,-58.2878,bin398
-34.7115,-58.1267,bin399
-34.7113,-58.443,bin400
-34.7112,-58.533,bin401
-34.7111,-58.5986,bin402
-34.7106,-58.1888,bin403
-34.7105,-58.6697,bin404
-34.7104,-58.5394,bin405
-34.7103,-58.249,bin406
-34.7102,-58.4532,bin407
-34.7102,-58.1212,bin408
-34.71,-58.2492,bin409
-34.7099,-58.3083,bin410
-34.7099,-58.2295,bin411
-34.7097,-58.0975,bin412
-34.7094,-58.5922,bin413
-34.7094,-58.2856,bin414
-34.7092,-58.4528,bin415
-34.7091,-58.2889,bin416
-34.709,-58.3777,bin417
-34.7089,-58.5957,bin418
-34.7085,-58.3714,bin419
-34.7085,-58.2961,bin420
-34.7082,-58.38,bin421
-34.7082,-58.3694,bin422
-34.7081,-58.5778,bin423
-34.708,-58.4462,bin424
-34.708,-58.3031,bin425
-34.708,-58.2478,bin426
-34.7079,-58.1862,bin427
-34.7078,-58.3042,bin428
-34.7076,-58.5729,bin429
-34.7076,-58.2268,bin430
-34.7076,-58.2222,bin431
-34.7074,-58.6673,bin432
-34.7074,-58.4419,bin433
-34.7073,-58.5326,bin434
-34.7071,-58.3604,bin435
-34.7071,-58.0971,bin436
-34.707,-58.6664,bin437
-34.7069,-58.6723,bin438
-34.7063,-58.1172,bin439
-34.7061,-58.3633,bin440
-34.706,-58.4506,bin441
-34.706,-58.4342,bin442
-34.706,-58.3777,bin443
-34.706,-58.2801,bin444
-34.7056,-58.6607,bin445
-34.7056,-58.245,bin446
-34.7055,-58.0957,bin447
-34.7054,-58.2865,bin448
-34.7053,-58.2962,bin449
-34.7051,-58.57,bin450
-34.705,-58.5907,bin451
-34.705,-58.5279,bin452
-34.705,-58.4412,bin453
-34.705,-58.2791,bin454
-34.7047,-58.2416,bin455
-34.7046,-58.2853,bin456
-34.7044,-58.1157,bin457
-34.704,-58.2838,bin458
-34.7039,-58.6584,bin459
-34.7038,-58.5674,bin460
-34.7037,-58.1196,bin461
-34.7036,-58.177,bin462
-34.7034,-58.4432,bin463
-34.703,-58.3626,bin464
-34.703,-58.2406,bin465
-34.703,-58.2204,bin466
-34.7029,-58.2984,bin467
-34.7026,-58.4456,bin468
-34.7026,-58.4337,bin469
-34.7026,-58.2949,bin470
-34.7025,-58.5873,bin471
-34.7025,-58.5637,bin472
-34.7024,-58.0885,bin473
-34.7023,-58.3701,bin474
-34.7021,-58.5874,bin475
-34.7014,-58.1785,bin476
-34.7012,-58.2189,bin477
-34.7011,-58.3574,bin478
-34.7011,-58.1791,bin479
-34.7009,-58.5251,bin480
-34.7003,-58.4285,bin481
-34.7002,-58.5578,bin482
-34.7002,-58.2947,bin483
-34.7002,-58.0929,bin484
-34.7001,-58.5779,bin485
-34.6999,-58.2992,bin486
-34.6999,-58.2592,bin487
-34.6997,-58.371,bin488
-34.6997,-58.3688,bin489
-34.6997,-58.2127,bin490
-34.6996,-58.4405,bin491
-34.6995,-58.5287,bin492
-34.6994,-58.5613,bin493
-34.6993,-58.2765,bin494
-34.6991,-58.5812,bin495
-34.6988,-58.4298,bin496
-34.6986,-58.5201,bin497
-34.6985,-58.2903,bin498
-34.6985,-58.2356,bin499
-34.6984,-58.3549,bin500
-34.6983,-58.5243,bin501
-34.6983,-58.209,bin502
-34.6981,-58.6597,bin503
-34.6981,-58.1696,bin504
-34.6978,-58.2829,bin505
-34.6975,-58.5751,bin506
-34.6972,-58.3616,bin507
-34.6971,-58.514,bin508
-34.6971,-58.1076,bin509
-34.6969,-58.5575,bin510
-34.6969,-58.2716,bin511
-34.6969,-58.1115,bin512
-34.6967,-58.1759,bin513
-34.6962,-58.4294,bin514
-34.6961,-58.0849,bin515
-34.696,-58.5745,bin516
-34.696,-58.1715,bin517
-34.6958,-58.5552,bin518
-34.6958,-58.4396,bin519
-34.6956,-58.2814,bin520
-34.6956,-58.2771,bin521
-34.6955,-58.1031,bin522
-34.6954,-58.4255,bin523
-34.6954,-58.4213,bin524
-34.6954,-58.3547,bin525
-34.6953,-58.3642,bin526
-34.6953,-58.2565,bin527
-34.6952,-58.4389,bin528
-34.6952,-58.0903,bin529
-34.6951,-58.2093,bin530
-34.6949,-58.4338,bin531
-34.6948,-58.5176,bin532
-34.6948,-58.2323,bin533
-34.6947,-58.4201,bin534
-34.6944,-58.6558,bin535
-34.6943,-58.1046,bin536
-34.6942,-58.2878,bin537
-34.6941,-58.35,bin538
-34.6941,-58.2675,bin539
-34.6939,-58.3506,bin540
-34.6938,-58.2735,bin541
-34.6934,-58.6351,bin542
-34.6933,-58.3623,bin543
-34.6932,-58.2819,bin544
-34.6932,-58.0846,bin545
-34.6931,-58.5184,bin546
-34.6929,-58.5727,bin547
-34.6929,-58.3448,bin548
-34.6928,-58.2312,bin549
-34.6928,-58.2282,bin550
-34.6925,-58.6355,bin551
-34.6924,-58.6539,bin552
-34.6922,-58.205,bin553
-34.6921,-58.6109,bin554
-34.6921,-58.4237,bin555
-34.692,-58.6514,bin556
-34.692,-58.228,bin557
-34.6918,-58.2671,bin558
-34.6915,-58.5103,bin559
-34.6913,-58.3571,bin560
-34.6913,-58.2818,bin561
-34.6913,-58.265,bin562
-34.6913,-58.2053,bin563
-34.6912,-58.6096,bin564
-34.6912,-58.5143,bin565
-34.6912,-58.0794,bin566
-34.6911,-58.5149,bin567
-34.691,-58.6306,bin568
-34.6909,-58.632,bin569
-34.6909,-58.5093,bin570
-34.6906,-58.5041,bin571
-34.6906,-58.2698,bin572
-34.6905,-58.1692,bin573
-34.6904,-58.2561,bin574
-34.6903,-58.3422,bin575
-34.6903,-58.2581,bin576
-34.6902,-58.5114,bin577
-34.6902,-58.3567,bin578
-34.6901,-58.6064,bin579
-34.6901,-58.0771,bin580
-34.69,-58.5529,bin581
-34.6899,-58.2813,bin582
-34.6898,-58.4222,bin583
-34.6897,-58.2858,bin584
-34.6894,-58.4184,bin585
-34.6892,-58.1041,bin586
-34.689,-58.4197,bin587
-34.6888,-58.0787,bin588
-34.6887,-58.251,bin589
-34.6886,-58.5116,bin590
-34.6886,-58.4282,bin591
-34.6885,-58.6473,bin592
-34.6884,-58.2624,bin593
-34.688,-58.6475,bin594
-34.6879,-58.5714,bin595
-34.6878,-58.4335,bin596
-34.6878,-58.2244,bin597
-34.6877,-58.6066,bin598
-34.6877,-58.4155,bin599
-34.6877,-58.3563,bin600
-34.6876,-58.2792,bin601
-34.6875,-58.2501,bin602
-34.6874,-58.5518,bin603
-34.6873,-58.2566,bin604
-34.6873,-58.2014,bin605
-34.6873,-58.1964,bin606
-34.6873,-58.0983,bin607
-34.6873,-58.0713,bin608
-34.6871,-58.5432,bin609
-34.687,-58.5648,bin610
-34.6869,-58.41,bin611
-34.6868,-58.5068,bin612
-34.6868,-58.2772,bin613
-34.6867,-58.1644,bin614
-34.6867,-58.0952,bin615
-34.6866,-58.6246,bin616
-34.6866,-58.3424,bin617
-34.6865,-58.6409,bin618
-34.6865,-58.1612,bin619
-34.6863,-58.5094,bin620
-34.6862,-58.4251,bin621
-34.6861,-58.2773,bin622
-34.6859,-58.5078,bin623
-34.6859,-58.2231,bin624
-34.6858,-58.4253,bin625
-34.6858,-58.2603,bin626
-34.6856,-58.0917,bin627
-34.6855,-58.6241,bin628
-34.6855,-58.2482,bin629
-34.6854,-58.6393,bin630
-34.6854,-58.505,bin631
-34.6854,-58.4146,bin632
-34.6854,-58.2723,bin633
-34.6852,-58.5628,bin634
-34.6852,-58.4127,bin635
-34.6852,-58.3396,bin636
-34.6852,-58.2688,bin637
-34.685,-58.201,bin638
-34.6847,-58.2781,bin639
-34.6845,-58.5465,bin640
-34.6845,-58.5437,bin641
-34.6845,-58.502,bin642
-34.6845,-58.4115,bin643
-34.6844,-58.2524,bin644
-34.6844,-58.1615,bin645
-34.6843,-58.1578,bin646
-34.6841,-58.5637,bin647
-34.6841,-58.2529,bin648
-34.6839,-58.607,bin649
-34.6839,-58.5137,bin650
-34.6839,-58.266,bin651
-34.6838,-58.3502,bin652
-34.6838,-58.0937,bin653
-34.6836,-58.22,bin654
-34.6835,-58.6197,bin655
-34.6835,-58.2472,bin656
-34.6834,-58.3469,bin657
-34.6833,-58.0906,bin658
-34.6832,-58.4094,bin659
-34.6832,-58.0657,bin660
-34.683,-58.5622,bin661
-34.6827,-58.4178,bin662
-34.6827,-58.263,bin663
-34.6826,-58.4951,bin664
-34.6826,-58.4093,bin665
-34.6825,-58.4227,bin666
-34.6823,-58.3471,bin667
-34.682,-58.6383,bin668
-34.682,-58.3346,bin669
-34.682,-58.2649,bin670
-34.6817,-58.4068,bin671
-34.6817,-58.2764,bin672
-34.6815,-58.5042,bin673
-34.6815,-58.5036,bin674
-34.6814,-58.6183,bin675
-34.6814,-58.2724,bin676
-34.6812,-58.5976,bin677
-34.6811,-58.6354,bin678
-34.6811,-58.6348,bin679
-34.6811,-58.5005,bin680
-34.681,-58.0675,bin681
-34.6809,-58.271,bin682
-34.6808,-58.1549,bin683
-34.6807,-58.6006,bin684
-34.6807,-58.3979,bin685
-34.6807,-58.219,bin686
-34.6807,-58.2142,bin687
-34.6804,-58.5401,bin688
-34.6804,-58.1979,bin689
-34.6804,-58.0722,bin690
-34.6803,-58.212,bin691
-34.6803,-58.1926,bin692
-34.6802,-58.408,bin693
-34.6802,-58.2492,bin694
-34.6798,-58.6215,bin695
-34.6798,-58.337,bin696
-34.6798,-58.1936,bin697
-34.6797,-58.6351,bin698
-34.6797,-58.4939,bin699
-34.6797,-58.3339,bin700
-34.6791,-58.5395,bin701
-34.6791,-58.5051,bin702
-34.6789,-58.6319,bin703
-34.6789,-58.4061,bin704
-34.6785,-58.3978,bin705
-34.6785,-58.27,bin706
-34.6784,-58.4141,bin707
-34.6782,-58.4899,bin708
-34.6781,-58.2399,bin709
-34.678,-58.5582,bin710
-34.678,-58.4042,bin711
-34.678,-58.2745,bin712
-34.6779,-58.597,bin713
-34.6779,-58.5336,bin714
-34.6779,-58.2698,bin715
-34.6778,-58.0863,bin716
-34.6776,-58.2592,bin717
-34.6774,-58.5347,bin718
-34.6773,-58.5586,bin719
-34.6773,-58.3414,bin720
-34.6773,-58.2671,bin721
-34.6773,-58.258,bin722
-34.6773,-58.0615,bin723
-34.6772,-58.2397,bin724
-34.6771,-58.5007,bin725
-34.6768,-58.4999,bin726
-34.6768,-58.4016,bin727
-34.6767,-58.2475,bin728
-34.6766,-58.6282,bin729
-34.6766,-58.3438,bin730
-34.6765,-58.6325,bin731
-34.6765,-58.5031,bin732
-34.6765,-58.4969,bin733
-34.6765,-58.1494,bin734
-34.6763,-58.5968,bin735
-34.6762,-58.5554,bin736
-34.6762,-58.1511,bin737
-34.6761,-58.4012,bin738
-34.6761,-58.2381,bin739
-34.676,-58.3268,bin740
-34.6759,-58.6285,bin741
-34.6759,-58.4947,bin742
-34.6759,-58.394,bin743
-34.6758,-58.0846,bin744
-34.6757,-58.6098,bin745
-34.6753,-58.191,bin746
-34.6752,-58.4177,bin747
-34.6752,-58.2622,bin748
-34.675,-58.2086,bin749
-34.6749,-58.2568,bin750
-34.6746,-58.6261,bin751
-34.6746,-58.4976,bin752
-34.6745,-58.4013,bin753
-34.6745,-58.233,bin754
-34.6745,-58.2085,bin755
-34.6744,-58.2432,bin756
-34.6743,-58.6159,bin757
-34.6743,-58.3271,bin758
-34.6741,-58.3418,bin759
-34.6741,-58.1872,bin760
-34.674,-58.6135,bin761
-34.674,-58.4893,bin762
-34.674,-58.0814,bin763
-34.674,-58.0572,bin764
-34.6739,-58.2544,bin765
-34.6738,-58.1835,bin766
-34.6737,-58.5929,bin767
-34.6736,-58.4028,bin768
-34.6734,-58.262,bin769
-34.6734,-58.144,bin770
-34.6733,-58.2325,bin771
-34.6731,-58.2629,bin772
-34.673,-58.3929,bin773
-34.6729,-58.4952,bin774
-34.6728,-58.5488,bin775
-34.6725,-58.1465,bin776
-34.6724,-58.5492,bin777
-34.6724,-58.4117,bin778
-34.6723,-58.5278,bin779
-34.6723,-58.3211,bin780
-34.6722,-58.6314,bin781
-34.6722,-58.3883,bin782
-34.6721,-58.5858,bin783
-34.672,-58.398,bin784
-34.6719,-58.6242,bin785
-34.6719,-58.5916,bin786
-34.6719,-58.4932,bin787
-34.6719,-58.2041,bin788
-34.6719,-58.1429,bin789
-34.6718,-58.3974,bin790
-34.6717,-58.2439,bin791
-34.6716,-58.2495,bin792
-34.6716,-58.0602,bin793
-34.6714,-58.2624,bin794
-34.6714,-58.262,bin795
-34.6713,-58.4908,bin796
-34.6712,-58.5286,bin797
-34.6712,-58.1377,bin798
-34.6711,-58.487,bin799
-34.6711,-58.3377,bin800
-34.671,-58.627,bin801
-34.671,-58.3951,bin802
-34.6709,-58.4117,bin803
-34.6705,-58.0532,bin804
-34.6703,-58.3342,bin805
-34.6703,-58.1775,bin806
-34.6702,-58.4887,bin807
-34.6702,-58.4054,bin808
-34.6702,-58.1973,bin809
-34.6701,-58.4907,bin810
-34.6701,-58.3364,bin811
-34.67,-58.5305,bin812
-34.6699,-58.2352,bin813
-34.6698,-58.3954,bin814
-34.6696,-58.4909,bin815
-34.6696,-58.0814,bin816
-34.6695,-58.237,bin817
-34.6695,-58.2023,bin818
-34.6694,-58.0577,bin819
-34.6693,-58.6008,bin820
-34.6693,-58.0783,bin821
-34.6691,-58.1763,bin822
-34.669,-58.3969,bin823
-34.6689,-58.2423,bin824
-34.6687,-58.6195,bin825
-34.6686,-58.4032,bin826
-34.6686,-58.3962,bin827
-34.6686,-58.0731,bin828
-34.6685,-58.4793,bin829
-34.6684,-58.6044,bin830
-34.6684,-58.4919,bin831
-34.6683,-58.4821,bin832
-34.6683,-58.2282,bin833
-34.6682,-58.2583,bin834
-34.6681,-58.5804,bin835
-34.6681,-58.5464,bin836
-34.6681,-58.4828,bin837
-34.668,-58.6061,bin838
-34.668,-58.5437,bin839
-34.6678,-58.626,bin840
-34.6678,-58.2241,bin841
-34.6678,-58.18,bin842
-34.6677,-58.3196,bin843
-34.6674,-58.2469,bin844
-34.667,-58.4849,bin845
-34.667,-58.3944,bin846
-34.667,-58.3846,bin847
-34.667,-58.3184,bin848
-34.667,-58.2001,bin849
-34.6669,-58.2558,bin850
-34.6669,-58.2287,bin851
-34.6669,-58.0471,bin852
-34.6668,-58.2455,bin853
-34.6667,-58.4779,bin854
-34.6667,-58.074,bin855
-34.6666,-58.616,bin856
-34.6666,-58.3867,bin857
-34.6663,-58.583,bin858
-34.6663,-58.4873,bin859
-34.6662,-58.3927,bin860
-34.6661,-58.6232,bin861
-34.6661,-58.4006,bin862
-34.666,-58.398,bin863
-34.666,-58.3821,bin864
-34.666,-58.2593,bin865
-34.666,-58.2578,bin866
-34.6659,-58.2444,bin867
-34.6658,-58.3815,bin868
-34.6658,-58.1363,bin869
-34.6657,-58.3919,bin870
-34.6657,-58.1364,bin871
-34.6656,-58.3154,bin872
-34.6655,-58.2322,bin873
-34.6654,-58.2309,bin874
-34.6653,-58.5799,bin875
-34.6653,-58.3943,bin876
-34.6653,-58.3285,bin877
-34.6653,-58.2568,bin878
-34.6653,-58.07,bin879
-34.6652,-58.1688,bin880
-34.6649,-58.3169,bin881
-34.6647,-58.48,bin882
-34.6647,-58.2402,bin883
-34.6644,-58.3262,bin884
-34.6643,-58.6174,bin885
