truck_id,aws_ingest_ts_utc,lat,lon,gross_weight_kg,payload_kg
TRUCK-001,2026-04-01 12:37:05+00:00,-34.503,-58.3349,7643,209
TRUCK-001,2026-04-01 12:47:08+00:00,-34.4999,-58.3307,7435,4
TRUCK-001,2026-04-01 13:02:01+00:00,-34.4967,-58.3308,7460,4
TRUCK-001,2026-04-01 13:21:10+00:00,-34.4966,-58.3282,7491,4
TRUCK-001,2026-04-01 13:32:07+00:00,-34.4923,-58.3246,7462,4
TRUCK-001,2026-04-01 13:46:10+00:00,-34.4925,-58.3232,7428,0
TRUCK-001,2026-04-01 13:53:11+00:00,-34.4896,-58.3175,7426,0
TRUCK-001,2026-04-01 14:01:03+00:00,-34.4886,-58.3142,7447,0
TRUCK-001,2026-04-01 14:10:03+00:00,-34.4851,-58.3112,8190,712
TRUCK-001,2026-04-01 14:28:05+00:00,-34.4828,-58.3106,7965,511
TRUCK-001,2026-04-01 14:34:05+00:00,-34.4828,-58.3113,7990,511
TRUCK-001,2026-04-01 14:41:02+00:00,-34.4792,-58.3097,7956,511
TRUCK-001,2026-04-01 14:47:02+00:00,-34.4759,-58.3061,7941,511
TRUCK-001,2026-04-01 15:05:02+00:00,-34.4777,-58.3015,7776,282
TRUCK-001,2026-04-01 15:17:11+00:00,-34.472,-58.3,7705,282
TRUCK-001,2026-04-01 15:23:06+00:00,-34.4702,-58.2956,10142,2711
TRUCK-001,2026-04-01 15:33:07+00:00,-34.4691,-58.2978,10193,2711
TRUCK-001,2026-04-01 15:49:10+00:00,-34.4667,-58.2947,8305,837
TRUCK-001,2026-04-01 16:09:05+00:00,-34.4646,-58.2915,8279,837
TRUCK-001,2026-04-01 16:17:11+00:00,-34.4642,-58.2852,8295,837
TRUCK-001,2026-04-01 16:34:03+00:00,-34.4584,-58.2849,8310,837
TRUCK-001,2026-04-01 16:53:09+00:00,-34.4607,-58.2828,7953,462
TRUCK-001,2026-04-01 17:05:02+00:00,-34.4592,-58.2832,8895,1453
TRUCK-001,2026-04-01 17:15:04+00:00,-34.4578,-58.2786,8907,1453
TRUCK-001,2026-04-01 17:25:03+00:00,-34.4547,-58.2777,8948,1453
TRUCK-001,2026-04-01 17:31:05+00:00,-34.4494,-58.2707,7717,241
TRUCK-001,2026-04-01 17:42:04+00:00,-34.4458,-58.2684,7665,241
TRUCK-001,2026-04-01 18:02:08+00:00,-34.4479,-58.2703,7677,241
TRUCK-001,2026-04-01 18:12:05+00:00,-34.445,-58.2645,7692,241
TRUCK-001,2026-04-01 18:27:10+00:00,-34.4446,-58.2613,7489,43
TRUCK-001,2026-04-01 18:43:08+00:00,-34.4412,-58.2641,7525,43
TRUCK-001,2026-04-01 18:55:03+00:00,-34.4358,-58.2571,7465,43
TRUCK-001,2026-04-01 19:03:10+00:00,-34.4337,-58.2562,7476,43
TRUCK-001,2026-04-01 19:11:01+00:00,-34.4323,-58.253,7442,0
TRUCK-001,2026-04-01 19:22:10+00:00,-34.4324,-58.2519,7439,0
TRUCK-001,2026-04-01 19:41:03+00:00,-34.4278,-58.2503,7479,0
TRUCK-001,2026-04-01 19:54:05+00:00,-34.4276,-58.2455,9575,2082
TRUCK-001,2026-04-01 20:01:08+00:00,-34.4283,-58.2461,7593,164
TRUCK-001,2026-04-01 20:09:02+00:00,-34.4259,-58.2434,7611,164
TRUCK-001,2026-04-01 20:26:01+00:00,-34.424,-58.2412,7638,164
TRUCK-001,2026-04-01 20:37:08+00:00,-34.421,-58.2394,7624,164
TRUCK-001,2026-04-01 20:47:01+00:00,-34.4191,-58.2322,7474,0
TRUCK-001,2026-04-01 21:00:11+00:00,-34.416,-58.2347,7483,0
TRUCK-001,2026-04-01 21:14:05+00:00,-34.414,-58.2303,9811,2386
TRUCK-001,2026-04-01 21:32:07+00:00,-34.4135,-58.2282,9828,2386
TRUCK-001,2026-04-01 21:51:03+00:00,-34.4108,-58.226,9640,2222
TRUCK-001,2026-04-01 22:00:02+00:00,-34.407,-58.2208,9699,2222
TRUCK-001,2026-04-01 22:16:04+00:00,-34.4052,-58.2197,9646,2222
TRUCK-001,2026-04-01 22:36:11+00:00,-34.401,-58.2189,9677,2222
TRUCK-001,2026-04-01 22:57:05+00:00,-34.3979,-58.2179,8625,1165
TRUCK-001,2026-04-01 23:08:08+00:00,-34.398,-58.213,9384,1896
TRUCK-001,2026-04-01 23:26:03+00:00,-34.3987,-58.2109,9364,1896
TRUCK-001,2026-04-01 23:36:02+00:00,-34.3943,-58.2059,9359,1896
TRUCK-001,2026-04-01 23:50:08+00:00,-34.3917,-58.208,8278,786
TRUCK-001,2026-04-01 23:58:06+00:00,-34.3906,-58.2026,8209,786
TRUCK-001,2026-04-02 00:10:09+00:00,-34.3889,-58.2027,8271,786
TRUCK-001,2026-04-02 00:28:01+00:00,-34.3831,-58.1988,8237,786
TRUCK-001,2026-04-02 00:48:08+00:00,-34.3849,-58.1936,7759,334
TRUCK-001,2026-04-02 00:54:03+00:00,-34.3845,-58.1945,7770,334
TRUCK-001,2026-04-02 01:11:03+00:00,-34.3783,-58.1938,7786,334
TRUCK-001,2026-04-02 01:24:04+00:00,-34.3763,-58.187,7754,334
TRUCK-001,2026-04-02 01:41:01+00:00,-34.377,-58.1885,7584,131
TRUCK-001,2026-04-02 01:56:04+00:00,-34.3719,-58.1865,7552,131
TRUCK-001,2026-04-02 02:11:11+00:00,-34.3728,-58.1803,7607,131
TRUCK-001,2026-04-02 02:31:02+00:00,-34.3715,-58.1785,10181,2712
TRUCK-001,2026-04-02 02:41:11+00:00,-34.3645,-58.1771,8718,1286
TRUCK-001,2026-04-02 03:00:02+00:00,-34.3633,-58.1752,8716,1286
TRUCK-001,2026-04-02 03:09:09+00:00,-34.3651,-58.1738,8746,1286
TRUCK-001,2026-04-02 03:25:08+00:00,-34.3614,-58.1675,8749,1286
TRUCK-001,2026-04-02 03:38:02+00:00,-34.3609,-58.1706,8556,1122
TRUCK-001,2026-04-02 03:49:01+00:00,-34.3548,-58.1637,8590,1122
TRUCK-001,2026-04-02 04:07:02+00:00,-34.3522,-58.1602,10605,3175
TRUCK-001,2026-04-02 04:27:02+00:00,-34.3507,-58.1606,10666,3175
TRUCK-001,2026-04-02 04:37:10+00:00,-34.3514,-58.1578,10256,2787
TRUCK-001,2026-04-02 04:44:08+00:00,-34.3497,-58.1544,10275,2787
TRUCK-001,2026-04-02 04:53:10+00:00,-34.3446,-58.1527,10221,2787
TRUCK-001,2026-04-02 05:12:10+00:00,-34.3421,-58.1535,10270,2787
TRUCK-001,2026-04-02 05:31:07+00:00,-34.3395,-58.1505,9531,2095
TRUCK-001,2026-04-02 05:44:06+00:00,-34.3371,-58.1485,11913,4426
TRUCK-001,2026-04-02 06:03:06+00:00,-34.3376,-58.1407,11879,4426
TRUCK-001,2026-04-02 06:12:08+00:00,-34.3353,-58.139,11848,4426
TRUCK-001,2026-04-02 06:25:04+00:00,-34.3332,-58.1409,9479,1992
TRUCK-001,2026-04-02 06:32:11+00:00,-34.3303,-58.1337,9417,1992
TRUCK-001,2026-04-02 06:43:08+00:00,-34.3319,-58.1328,9468,1992
TRUCK-001,2026-04-02 07:04:02+00:00,-34.3263,-58.1304,9426,1992
TRUCK-001,2026-04-02 07:12:03+00:00,-34.3231,-58.1267,7868,430
TRUCK-001,2026-04-02 07:27:11+00:00,-34.3239,-58.1289,7893,430
TRUCK-001,2026-04-02 07:36:09+00:00,-34.3228,-58.1255,7867,430
TRUCK-001,2026-04-02 07:49:07+00:00,-34.3165,-58.1219,7897,430
TRUCK-001,2026-04-02 08:08:10+00:00,-34.3169,-58.1193,7640,166
TRUCK-001,2026-04-02 08:19:09+00:00,-34.3136,-58.1199,7597,166
TRUCK-001,2026-04-02 08:35:10+00:00,-34.314,-58.1178,7597,166
TRUCK-001,2026-04-02 08:55:02+00:00,-34.3126,-58.1129,8161,718
TRUCK-001,2026-04-02 09:12:09+00:00,-34.3079,-58.1078,7719,244
TRUCK-001,2026-04-02 09:26:01+00:00,-34.3081,-58.107,7711,244
TRUCK-001,2026-04-02 09:37:07+00:00,-34.3009,-58.1071,7665,244
TRUCK-001,2026-04-02 09:50:02+00:00,-34.3007,-58.1021,7740,244
TRUCK-001,2026-04-02 10:11:07+00:00,-34.2976,-58.0989,7523,76
TRUCK-001,2026-04-02 10:25:01+00:00,-34.2947,-58.0978,7516,76
TRUCK-001,2026-04-02 10:34:02+00:00,-34.2969,-58.0955,9990,2511
TRUCK-001,2026-04-02 10:49:05+00:00,-34.2925,-58.0935,9951,2511
TRUCK-001,2026-04-02 11:02:10+00:00,-34.2889,-58.0899,7722,247
TRUCK-001,2026-04-02 11:20:07+00:00,-34.2876,-58.0891,7694,247
TRUCK-001,2026-04-02 11:38:11+00:00,-34.2873,-58.0845,7693,247
TRUCK-001,2026-04-02 11:54:04+00:00,-34.2879,-58.0865,7678,247
TRUCK-001,2026-04-02 12:01:03+00:00,-34.2844,-58.0785,7532,35
TRUCK-001,2026-04-02 12:10:02+00:00,-34.2809,-58.0793,9433,1990
TRUCK-001,2026-04-02 12:27:01+00:00,-34.2789,-58.0748,9437,1990
TRUCK-001,2026-04-02 12:38:09+00:00,-34.2756,-58.075,9436,1990
TRUCK-001,2026-04-02 12:45:11+00:00,-34.2733,-58.0694,8342,862
TRUCK-001,2026-04-02 12:56:03+00:00,-34.2713,-58.0714,8313,862
TRUCK-001,2026-04-02 13:05:02+00:00,-34.273,-58.0667,8308,862
TRUCK-001,2026-04-02 13:21:11+00:00,-34.266,-58.0672,8346,862
TRUCK-001,2026-04-02 13:28:11+00:00,-34.2671,-58.0646,7690,211
TRUCK-001,2026-04-02 13:49:06+00:00,-34.2658,-58.0617,7673,211
TRUCK-001,2026-04-02 14:06:06+00:00,-34.2614,-58.0564,7656,211
TRUCK-001,2026-04-02 14:27:01+00:00,-34.2586,-58.0521,7658,211
TRUCK-001,2026-04-02 14:48:08+00:00,-34.2578,-58.0535,7452,23
TRUCK-001,2026-04-02 15:00:05+00:00,-34.255,-58.0496,7453,23
TRUCK-001,2026-04-02 15:09:01+00:00,-34.2549,-58.0485,7489,23
TRUCK-001,2026-04-02 15:18:06+00:00,-34.2484,-58.0437,8488,1050
TRUCK-001,2026-04-02 15:34:04+00:00,-34.2517,-58.0401,8302,851
TRUCK-001,2026-04-02 15:49:11+00:00,-34.2481,-58.0392,8288,851
TRUCK-001,2026-04-02 16:10:09+00:00,-34.2421,-58.036,8307,851
TRUCK-001,2026-04-02 16:24:05+00:00,-34.2415,-58.0345,8282,851
TRUCK-001,2026-04-02 16:32:02+00:00,-34.2404,-58.0321,7524,40
TRUCK-001,2026-04-02 16:48:05+00:00,-34.2387,-58.0321,7516,40
TRUCK-001,2026-04-02 17:00:06+00:00,-34.2354,-58.0282,8446,1010
TRUCK-001,2026-04-02 17:18:02+00:00,-34.2355,-58.0274,8505,1010
TRUCK-001,2026-04-02 17:33:09+00:00,-34.2352,-58.0221,8159,668
TRUCK-001,2026-04-02 17:49:01+00:00,-34.2274,-58.0187,8158,668
TRUCK-001,2026-04-02 17:57:01+00:00,-34.2312,-58.0165,8103,668
TRUCK-001,2026-04-02 18:13:06+00:00,-34.2238,-58.0158,8128,668
TRUCK-001,2026-04-02 18:33:02+00:00,-34.2217,-58.0165,7726,241
TRUCK-002,2026-04-01 06:43:03+00:00,-34.5602,-58.6472,9572,2139
TRUCK-002,2026-04-01 06:55:05+00:00,-34.5582,-58.6442,9544,2139
TRUCK-002,2026-04-01 07:10:07+00:00,-34.5571,-58.6428,9552,2139
TRUCK-002,2026-04-01 07:19:01+00:00,-34.5512,-58.6389,8176,810
TRUCK-002,2026-04-01 07:28:05+00:00,-34.5535,-58.6416,8189,810
TRUCK-002,2026-04-01 07:38:09+00:00,-34.5499,-58.6379,8203,810
TRUCK-002,2026-04-01 07:54:02+00:00,-34.5444,-58.634,10769,3375
TRUCK-002,2026-04-01 08:03:09+00:00,-34.546,-58.6309,8557,1153
TRUCK-002,2026-04-01 08:13:02+00:00,-34.5405,-58.6316,8581,1153
TRUCK-002,2026-04-01 08:31:05+00:00,-34.5414,-58.6251,8552,1153
TRUCK-002,2026-04-01 08:39:06+00:00,-34.5355,-58.6244,8568,1153
TRUCK-002,2026-04-01 08:49:05+00:00,-34.5346,-58.6212,8363,932
TRUCK-002,2026-04-01 09:09:09+00:00,-34.5345,-58.619,8335,932
TRUCK-002,2026-04-01 09:24:05+00:00,-34.5319,-58.6156,9259,1846
TRUCK-002,2026-04-01 09:38:02+00:00,-34.5274,-58.6163,9278,1846
TRUCK-002,2026-04-01 09:52:09+00:00,-34.5273,-58.6152,8586,1156
TRUCK-002,2026-04-01 09:58:05+00:00,-34.5266,-58.6077,8518,1156
TRUCK-002,2026-04-01 10:11:10+00:00,-34.5248,-58.6057,8591,1156
TRUCK-002,2026-04-01 10:24:04+00:00,-34.5213,-58.6072,8581,1156
TRUCK-002,2026-04-01 10:36:04+00:00,-34.5163,-58.6048,8091,686
TRUCK-002,2026-04-01 10:56:02+00:00,-34.5142,-58.6033,9396,1994
TRUCK-002,2026-04-01 11:15:02+00:00,-34.517,-58.5959,9374,1994
TRUCK-002,2026-04-01 11:29:09+00:00,-34.5148,-58.5967,9354,1994
TRUCK-002,2026-04-01 11:41:08+00:00,-34.5077,-58.5951,9097,1711
TRUCK-002,2026-04-01 12:01:09+00:00,-34.5099,-58.593,9104,1711
TRUCK-002,2026-04-01 12:09:07+00:00,-34.508,-58.5895,9074,1711
TRUCK-002,2026-04-01 12:23:05+00:00,-34.5065,-58.5877,9114,1711
TRUCK-002,2026-04-01 12:31:01+00:00,-34.5037,-58.5864,7998,570
TRUCK-002,2026-04-01 12:47:01+00:00,-34.5016,-58.5834,7954,570
TRUCK-002,2026-04-01 13:04:04+00:00,-34.4969,-58.5809,8002,570
TRUCK-002,2026-04-01 13:10:02+00:00,-34.4968,-58.5773,7997,570
TRUCK-002,2026-04-01 13:22:05+00:00,-34.493,-58.5746,7483,63
TRUCK-002,2026-04-01 13:31:10+00:00,-34.4924,-58.5722,7492,63
TRUCK-002,2026-04-01 13:48:08+00:00,-34.488,-58.5721,7426,63
TRUCK-002,2026-04-01 14:03:06+00:00,-34.4885,-58.5668,8458,1049
TRUCK-002,2026-04-01 14:17:11+00:00,-34.485,-58.5663,7477,88
TRUCK-002,2026-04-01 14:32:07+00:00,-34.4816,-58.5643,7488,88
TRUCK-002,2026-04-01 14:44:07+00:00,-34.4818,-58.5617,7461,88
TRUCK-002,2026-04-01 15:01:04+00:00,-34.4811,-58.5595,7522,88
TRUCK-002,2026-04-01 15:16:01+00:00,-34.478,-58.5561,7418,0
TRUCK-002,2026-04-01 15:35:11+00:00,-34.4735,-58.5509,7418,0
TRUCK-002,2026-04-01 15:54:06+00:00,-34.4728,-58.5526,9101,1742
TRUCK-002,2026-04-01 16:03:07+00:00,-34.4698,-58.5464,9104,1742
TRUCK-002,2026-04-01 16:14:08+00:00,-34.4702,-58.5469,8260,903
TRUCK-002,2026-04-01 16:34:02+00:00,-34.4664,-58.5427,8331,903
TRUCK-002,2026-04-01 16:41:08+00:00,-34.4672,-58.5382,8316,903
TRUCK-002,2026-04-01 16:55:04+00:00,-34.4628,-58.5375,8294,903
TRUCK-002,2026-04-01 17:01:08+00:00,-34.4604,-58.5387,7877,509
TRUCK-002,2026-04-01 17:12:01+00:00,-34.4564,-58.5345,9249,1817
TRUCK-002,2026-04-01 17:22:01+00:00,-34.4544,-58.5312,9180,1817
TRUCK-002,2026-04-01 17:43:02+00:00,-34.4518,-58.5311,9226,1817
TRUCK-002,2026-04-01 17:57:03+00:00,-34.4532,-58.5287,8888,1458
TRUCK-002,2026-04-01 18:06:02+00:00,-34.451,-58.5248,8866,1458
TRUCK-002,2026-04-01 18:26:05+00:00,-34.4471,-58.5234,8877,1458
TRUCK-002,2026-04-01 18:46:05+00:00,-34.4471,-58.5166,8893,1458
TRUCK-002,2026-04-01 18:58:06+00:00,-34.4429,-58.5176,8664,1285
TRUCK-002,2026-04-01 19:04:01+00:00,-34.4406,-58.5137,8660,1285
TRUCK-002,2026-04-01 19:15:04+00:00,-34.4372,-58.5137,8711,1285
TRUCK-002,2026-04-01 19:36:10+00:00,-34.4393,-58.5095,8675,1285
TRUCK-002,2026-04-01 19:50:04+00:00,-34.4366,-58.507,7560,151
TRUCK-002,2026-04-01 20:03:04+00:00,-34.4326,-58.5054,7574,151
TRUCK-002,2026-04-01 20:23:11+00:00,-34.4307,-58.5001,7541,151
TRUCK-002,2026-04-01 20:31:04+00:00,-34.4273,-58.4969,9594,2183
TRUCK-002,2026-04-01 20:46:09+00:00,-34.4245,-58.4998,8949,1563
TRUCK-002,2026-04-01 21:03:07+00:00,-34.4226,-58.496,8956,1563
TRUCK-002,2026-04-01 21:24:05+00:00,-34.4203,-58.4897,8950,1563
TRUCK-002,2026-04-01 21:42:08+00:00,-34.4192,-58.4897,8978,1563
TRUCK-002,2026-04-01 22:02:09+00:00,-34.4185,-58.4855,7677,271
TRUCK-002,2026-04-01 22:15:08+00:00,-34.4183,-58.487,7652,271
TRUCK-002,2026-04-01 22:22:04+00:00,-34.4143,-58.4859,8014,585
TRUCK-002,2026-04-01 22:41:11+00:00,-34.4116,-58.482,7976,585
TRUCK-002,2026-04-01 22:50:01+00:00,-34.4094,-58.4797,7681,257
TRUCK-002,2026-04-01 23:06:05+00:00,-34.408,-58.4766,7685,257
TRUCK-002,2026-04-01 23:26:02+00:00,-34.4078,-58.4741,7624,257
TRUCK-002,2026-04-01 23:34:08+00:00,-34.4049,-58.4713,7690,257
TRUCK-002,2026-04-01 23:42:03+00:00,-34.3996,-58.4672,7460,67
TRUCK-002,2026-04-01 23:54:09+00:00,-34.3969,-58.4645,8625,1259
TRUCK-002,2026-04-02 00:14:01+00:00,-34.3951,-58.4667,8696,1259
TRUCK-002,2026-04-02 00:21:03+00:00,-34.3974,-58.46,8622,1259
TRUCK-002,2026-04-02 00:34:05+00:00,-34.3907,-58.4619,7872,445
TRUCK-002,2026-04-02 00:40:09+00:00,-34.3895,-58.457,7841,445
TRUCK-002,2026-04-02 00:46:04+00:00,-34.3864,-58.4568,7881,445
TRUCK-002,2026-04-02 00:52:01+00:00,-34.3871,-58.4535,7880,445
TRUCK-002,2026-04-02 01:03:01+00:00,-34.3833,-58.4497,7560,141
TRUCK-002,2026-04-02 01:20:09+00:00,-34.3801,-58.4496,7571,141
TRUCK-002,2026-04-02 01:34:01+00:00,-34.3807,-58.4432,7509,141
TRUCK-002,2026-04-02 01:53:02+00:00,-34.3805,-58.4444,7504,141
TRUCK-002,2026-04-02 02:10:01+00:00,-34.3757,-58.442,7370,0
TRUCK-002,2026-04-02 02:18:09+00:00,-34.3753,-58.4372,7425,0
TRUCK-002,2026-04-02 02:29:06+00:00,-34.3692,-58.4322,7359,0
TRUCK-002,2026-04-02 02:35:09+00:00,-34.3724,-58.4326,8498,1066
TRUCK-002,2026-04-02 02:48:10+00:00,-34.3695,-58.4318,7518,93
TRUCK-002,2026-04-02 03:04:06+00:00,-34.3684,-58.4253,7513,93
TRUCK-002,2026-04-02 03:11:05+00:00,-34.3645,-58.4252,7470,93
TRUCK-002,2026-04-02 03:17:09+00:00,-34.3597,-58.4234,7468,93
TRUCK-002,2026-04-02 03:26:01+00:00,-34.3569,-58.4184,7380,0
TRUCK-002,2026-04-02 03:47:04+00:00,-34.3564,-58.4181,7383,0
TRUCK-002,2026-04-02 03:58:07+00:00,-34.3544,-58.4135,8430,997
TRUCK-002,2026-04-02 04:11:11+00:00,-34.3532,-58.4157,8358,997
TRUCK-002,2026-04-02 04:29:01+00:00,-34.3504,-58.4124,7814,442
TRUCK-002,2026-04-02 04:37:05+00:00,-34.3479,-58.4109,7837,442
TRUCK-002,2026-04-02 04:55:09+00:00,-34.3445,-58.4069,7879,442
TRUCK-002,2026-04-02 05:01:02+00:00,-34.3447,-58.4023,7817,442
TRUCK-002,2026-04-02 05:12:08+00:00,-34.3444,-58.4029,7636,238
TRUCK-002,2026-04-02 05:22:04+00:00,-34.3419,-58.3972,8928,1499
TRUCK-002,2026-04-02 05:31:08+00:00,-34.3359,-58.3954,8925,1499
TRUCK-002,2026-04-02 05:38:08+00:00,-34.3337,-58.3925,8858,1499
TRUCK-002,2026-04-02 05:51:08+00:00,-34.3368,-58.3909,8225,822
TRUCK-002,2026-04-02 06:02:06+00:00,-34.3304,-58.3876,8238,822
TRUCK-002,2026-04-02 06:17:01+00:00,-34.3299,-58.3888,8239,822
TRUCK-002,2026-04-02 06:38:09+00:00,-34.3282,-58.3837,8217,822
TRUCK-002,2026-04-02 06:47:10+00:00,-34.3268,-58.3807,8020,641
TRUCK-002,2026-04-02 07:04:06+00:00,-34.3214,-58.3815,8027,641
TRUCK-002,2026-04-02 07:18:09+00:00,-34.3195,-58.3774,8044,641
TRUCK-002,2026-04-02 07:27:09+00:00,-34.3185,-58.3773,8048,641
TRUCK-002,2026-04-02 07:47:07+00:00,-34.3204,-58.3737,7658,248
TRUCK-002,2026-04-02 08:05:02+00:00,-34.3148,-58.3703,7657,248
TRUCK-002,2026-04-02 08:15:01+00:00,-34.3136,-58.3689,7630,248
TRUCK-002,2026-04-02 08:27:03+00:00,-34.3086,-58.3639,8992,1608
TRUCK-002,2026-04-02 08:39:06+00:00,-34.3075,-58.3644,7545,132
TRUCK-002,2026-04-02 08:51:05+00:00,-34.3051,-58.3627,7506,132
TRUCK-002,2026-04-02 09:10:09+00:00,-34.3037,-58.358,7537,132
TRUCK-002,2026-04-02 09:31:02+00:00,-34.305,-58.3556,7499,132
TRUCK-002,2026-04-02 09:45:08+00:00,-34.2981,-58.3524,7407,0
TRUCK-002,2026-04-02 10:04:08+00:00,-34.2968,-58.3497,7362,0
TRUCK-002,2026-04-02 10:20:10+00:00,-34.2969,-58.348,7707,330
TRUCK-002,2026-04-02 10:32:05+00:00,-34.2942,-58.345,7696,330
TRUCK-002,2026-04-02 10:49:02+00:00,-34.2898,-58.3428,7395,32
TRUCK-002,2026-04-02 11:00:01+00:00,-34.2931,-58.3439,7434,32
TRUCK-002,2026-04-02 11:21:09+00:00,-34.2882,-58.3405,7408,32
TRUCK-002,2026-04-02 11:30:06+00:00,-34.2885,-58.3385,7441,32
TRUCK-002,2026-04-02 11:40:05+00:00,-34.2825,-58.3355,7369,0
TRUCK-002,2026-04-02 11:54:08+00:00,-34.28,-58.3326,8845,1431
TRUCK-002,2026-04-02 12:14:06+00:00,-34.2806,-58.3311,8822,1431
TRUCK-002,2026-04-02 12:25:08+00:00,-34.275,-58.3249,8848,1431
TRUCK-002,2026-04-02 12:46:07+00:00,-34.2741,-58.326,7507,79
TRUCK-002,2026-04-02 12:54:03+00:00,-34.2751,-58.3225,7446,79
TRUCK-002,2026-04-02 13:07:06+00:00,-34.2705,-58.3223,7510,79
TRUCK-002,2026-04-02 13:14:11+00:00,-34.2718,-58.3192,7502,79
TRUCK-002,2026-04-02 13:29:06+00:00,-34.2679,-58.316,7411,0
TRUCK-002,2026-04-02 13:47:11+00:00,-34.2639,-58.3131,7433,0
TRUCK-002,2026-04-02 13:54:04+00:00,-34.2648,-58.3083,7413,0
TRUCK-002,2026-04-02 14:12:07+00:00,-34.2635,-58.3074,7414,0
TRUCK-002,2026-04-02 14:22:11+00:00,-34.2578,-58.3076,7364,0
TRUCK-002,2026-04-02 14:42:11+00:00,-34.256,-58.3051,7398,0
TRUCK-002,2026-04-02 14:56:11+00:00,-34.2533,-58.3019,7402,0
TRUCK-002,2026-04-02 15:09:04+00:00,-34.2525,-58.2965,9846,2444
TRUCK-002,2026-04-02 15:17:05+00:00,-34.2515,-58.2973,9232,1858
TRUCK-002,2026-04-02 15:25:02+00:00,-34.2467,-58.2924,9215,1858
TRUCK-002,2026-04-02 15:45:08+00:00,-34.2446,-58.2884,9295,1858
TRUCK-002,2026-04-02 16:02:08+00:00,-34.2457,-58.2875,9262,1858
TRUCK-002,2026-04-02 16:11:07+00:00,-34.2444,-58.2853,7858,501
TRUCK-002,2026-04-02 16:26:01+00:00,-34.2427,-58.2853,7891,501
TRUCK-002,2026-04-02 16:43:08+00:00,-34.237,-58.2837,10060,2659
TRUCK-002,2026-04-02 16:54:05+00:00,-34.2354,-58.2781,10096,2659
TRUCK-002,2026-04-02 17:01:04+00:00,-34.2337,-58.2796,9825,2448
TRUCK-002,2026-04-02 17:13:07+00:00,-34.2294,-58.2761,9821,2448
TRUCK-002,2026-04-02 17:34:11+00:00,-34.2265,-58.2728,9836,2448
TRUCK-002,2026-04-02 17:48:06+00:00,-34.2272,-58.2687,9867,2448
TRUCK-002,2026-04-02 18:03:06+00:00,-34.2233,-58.2651,9070,1697
TRUCK-003,2026-04-01 06:51:02+00:00,-34.6275,-58.2979,10082,2506
TRUCK-003,2026-04-01 06:58:10+00:00,-34.6246,-58.2933,10068,2506
TRUCK-003,2026-04-01 07:08:04+00:00,-34.6205,-58.2941,10113,2506
TRUCK-003,2026-04-01 07:25:01+00:00,-34.6183,-58.2886,8227,655
TRUCK-003,2026-04-01 07:35:08+00:00,-34.616,-58.2908,8223,655
TRUCK-003,2026-04-01 07:45:06+00:00,-34.6139,-58.2872,8222,655
TRUCK-003,2026-04-01 07:59:07+00:00,-34.6154,-58.2847,10249,2684
TRUCK-003,2026-04-01 08:08:01+00:00,-34.611,-58.2802,8653,1047
TRUCK-003,2026-04-01 08:22:09+00:00,-34.61,-58.2795,8645,1047
